name,code,zone_code,district_code
Arboledas de Escobedo (P-44),COLONIA-ARBOLEDASDEESCOBEDOP44,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
"Ing J.M.Maldonado T. (P-11,19,22,23)",COLONIA-INGJMMALDONADOTP11192223,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Jeronimo Treviño (P-35),COLONIA-JERONIMOTREVINOP35,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
"Las Fuentes (P-53,54,134)",COLONIA-LASFUENTESP5354134,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Los Nogales III (P-102),COLONIA-LOSNOGALESIIIP102,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Martin de Zavala (P-34),COLONIA-MARTINDEZAVALAP34,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
San Antonio (P-37),COLONIA-SANANTONIOP37,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
San David 1P-33),COLONIA-SANDAVID1P33,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
"San Pedro (P-72,76,136)",COLONIA-SANPEDROP7276136,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
La Alianza Trazo de A (P-28),COLONIA-LAALIANZATRAZODEAP28,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
La Alianza sector B,COLONIA-LAALIANZASECTORB,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
La Alianza sector F (P-142),COLONIA-LAALIANZASECTORFP142,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
"La Alianza sector I (P-58,68)",COLONIA-LAALIANZASECTORIP5868,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
"La Alianza sector K (P-43,51)",COLONIA-LAALIANZASECTORKP4351,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
"La Alianza sector N (P-71,74)",COLONIA-LAALIANZASECTORNP7174,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
La Alianza sector Q (P-90),COLONIA-LAALIANZASECTORQP90,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
"Puerta del Sol 2  Sector La Alianza sector R (P-8,9)",COLONIA-PUERTADELSOL2SECTORLAALIANZASECTORRP89,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Puerta del Sol 1  Sector La Alianza sector S (P-28),COLONIA-PUERTADELSOL1SECTORLAALIANZASECTORSP28,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
La Alianza sector T (P-24),COLONIA-LAALIANZASECTORTP24,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
La Alianza Trazo Mao (P-46),COLONIA-LAALIANZATRAZOMAOP46,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
La Alianza Trazo Marcelino (P-130),COLONIA-LAALIANZATRAZOMARCELINOP130,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Valles de San Bernabe,COLONIA-VALLESDESANBERNABE,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Valles de San Bernabe III,COLONIA-VALLESDESANBERNABEIII,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Aniceto Corpus (P-60),COLONIA-ANICETOCORPUSP60,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
La Alianza Trazo Marco (P-52),COLONIA-LAALIANZATRAZOMARCOP52,ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
