name,code,parent_code
Sector La Alianza,SECTOR-LAALIANZA,DISTRITO-NORTE
Sector Solidaridad,SECTOR-SOLIDARIDAD,DISTRITO-NORTE
Sector San Bernabé,SECTOR-SANBERNABE,DISTRITO-NORTE
Sector CROC y Gloria Mendiola,SECTOR-CROCYGLORIAMENDIOLA,DISTRITO-NORTE
Sector Tierra y Libertad,SECTOR-TIERRAYLIBERTAD,DISTRITO-NORTE
Sector Unidad Modelo y Valle de Santa Lucía,SECTOR-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Sector Topo Chico y Penitenciaria,SECTOR-TOPOCHICOYPENITENCIARIA,DISTRITO-NORTE
Sector Distrito Norte y Niños Héroes,SECTOR-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Sector Villa Mitras,SECTOR-VILLAMITRAS,DISTRITO-NORTE
Sector Puerta de Hierro y Cumbres Elite,SECTOR-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Sector Valle de Infonavit y Valle Verde,SECTOR-VALLEDEINFONAVITYVALLEVERDE,DISTRITO-PONIENTE
Sector Cumbres Vista Hermosa y Cumbres Norte,SECTOR-CUMBRESVISTAHERMOSAYCUMBRESNORTE,DISTRITO-PONIENTE
Sector Burócratas,SECTOR-BUROCRATAS,DISTRITO-PONIENTE
"Sector San Jerónimo, Santa María y El Carmen",SECTOR-SANJERONIMOSANTAMARIAYELCARMEN,DISTRITO-PONIENTE
Sector Médico Gonzalitos y Obispado,SECTOR-MEDICOGONZALITOSYOBISPADO,DISTRITO-CENTRO
Sector Edison Industrial,SECTOR-EDISONINDUSTRIAL,DISTRITO-CENTRO
Sector Centrika,SECTOR-CENTRIKA,DISTRITO-CENTRO
Sector Moderna - Churubusco,SECTOR-MODERNACHURUBUSCO,DISTRITO-CENTRO
Sector Purísima Alameda - Centro - Fundidora,SECTOR-PURISIMAALAMEDACENTROFUNDIDORA,DISTRITO-CENTRO
Sector Loma Larga - Independencia,SECTOR-LOMALARGAINDEPENDENCIA,DISTRITO-SUR
Sector San Ángel,SECTOR-SANANGEL,DISTRITO-SUR
Sector Chapultepec,SECTOR-CHAPULTEPEC,DISTRITO-SUR
Sector Distrito Tec - Roma Sur - Contry,SECTOR-DISTRITOTECROMASURCONTRY,DISTRITO-SUR
Sector Satélite Mederos,SECTOR-SATELITEMEDEROS,DISTRITO-SUR
Sector Campana Altamira,SECTOR-CAMPANAALTAMIRA,DISTRITO-SUR
Sector Sierra Ventana,SECTOR-SIERRAVENTANA,DISTRITO-SUR
Sector Fundadores - Las Torres - Las Brisas,SECTOR-FUNDADORESLASTORRESLASBRISAS,DISTRITO-SUR
Sector Valle Alto,SECTOR-VALLEALTO,DISTRITO-HUAJUCO
Sector La Estanzuela,SECTOR-LAESTANZUELA,DISTRITO-HUAJUCO
Sector El Uro - Los Cristales - La Bola - El Barro,SECTOR-ELUROLOSCRISTALESLABOLAELBARRO,DISTRITO-HUAJUCO
