name,code,parent_code
"Zona La Alianza, Solidaridad y San Bernabé",ZONA-LAALIANZASOLIDARIDADYSANBERNABE,DISTRITO-NORTE
Zona Croc y Gloria Mendiola,ZONA-CROCYGLORIAMENDIOLA,DISTRITO-NORTE
Zona Villa Mitras,ZONA-VILLAMITRAS,DISTRITO-NORTE
Zona Unidad Modelo y Valle de Santa Lucía,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Zona Tierra y Libertad,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Zona Topo Chico,ZONA-TOPOCHICO,DISTRITO-NORTE
Zona Penitenciaria,ZONA-PENITENCIARIA,DISTRITO-NORTE
Zona Distrito Norte y Niños Heróes,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Zona Puerta de Hierro y Cumbres Elite,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Zona Cumbres Norte,ZONA-CUMBRESNORTE,DISTRITO-PONIENTE
Zona Valle de Infonavit y Valle Verde,ZONA-VALLEDEINFONAVITYVALLEVERDE,DISTRITO-PONIENTE
Zona Cumbres Vista Hermosa,ZONA-CUMBRESVISTAHERMOSA,DISTRITO-PONIENTE
Zona Burócratas y Mitras Norte,ZONA-BUROCRATASYMITRASNORTE,DISTRITO-PONIENTE
"Zona San Jerónimo, Santa María y El Carmen",ZONA-SANJERONIMOSANTAMARIAYELCARMEN,DISTRITO-PONIENTE
Zona Médico Gonzalitos,ZONA-MEDICOGONZALITOS,DISTRITO-CENTRO
Zona Edison Industrial,ZONA-EDISONINDUSTRIAL,DISTRITO-CENTRO
Zona Centrica,ZONA-CENTRICA,DISTRITO-CENTRO
Zona Moderna Churubusco,ZONA-MODERNACHURUBUSCO,DISTRITO-CENTRO
Zona Obispado y Purísima Alameda,ZONA-OBISPADOYPURISIMAALAMEDA,DISTRITO-CENTRO
Zona Centro y Fundidora,ZONA-CENTROYFUNDIDORA,DISTRITO-CENTRO
Zona Loma Larga,ZONA-LOMALARGA,DISTRITO-SUR
Zona Independencia,ZONA-INDEPENDENCIA,DISTRITO-SUR
Zona Chapultepec,ZONA-CHAPULTEPEC,DISTRITO-SUR
Zona Distrito Tec,ZONA-DISTRITOTEC,DISTRITO-SUR
Zona Roma Sur,ZONA-ROMASUR,DISTRITO-SUR
Zona Campana Altamira,ZONA-CAMPANAALTAMIRA,DISTRITO-SUR
Zona Contry,ZONA-CONTRY,DISTRITO-SUR
Zona Sierra Ventana,ZONA-SIERRAVENTANA,DISTRITO-SUR
Zona Fundadores y Las Torres,ZONA-FUNDADORESYLASTORRES,DISTRITO-SUR
Zona Las Brisas,ZONA-LASBRISAS,DISTRITO-SUR
Zona San Ángel,ZONA-SANANGEL,DISTRITO-SUR
Zona Satélite Mederos,ZONA-SATELITEMEDEROS,DISTRITO-SUR
Zona Valle Alto El Diente,ZONA-VALLEALTOELDIENTE,DISTRITO-HUAJUCO
Zona La Estanzuela,ZONA-LAESTANZUELA,DISTRITO-HUAJUCO
Zona El Uro y Los Cristales,ZONA-ELUROYLOSCRISTALES,DISTRITO-HUAJUCO
Zona La Bola y El Barro,ZONA-LABOLAYELBARRO,DISTRITO-HUAJUCO
