name,code,parent_code
"La Alianza, Solidaridad y San Bernabé",SECTOR-LAALIANZASOLIDARIDADYSANBERNABE,DELEGACION-NORTE
Croc y Gloria Mendiola,SECTOR-CROCYGLORIAMENDIOLA,DELEGACION-NORTE
Villa Mitras,SECTOR-VILLAMITRAS,DELEGACION-NORTE
Unidad Modelo y Valle de Santa Lucía,SECTOR-UNIDADMODELOYVALLEDESANTALUCIA,DELEGACION-NORTE
Tierra y Libertad,SECTOR-TIERRAYLIBERTAD,DELEGACION-NORTE
Topo Chico,SECTOR-TOPOCHICO,DELEGACION-NORTE
Penitenciaria,SECTOR-PENITENCIARIA,DELEGACION-NORTE
Distrito Norte y Niños Heróes,SECTOR-DISTRITONORTEYNINOSHEROES,DELEGACION-NORTE
Puerta de Hierro y Cumbres Elite,SECTOR-PUERTADEHIERROYCUMBRESELITE,DELEGACION-PONIENTE
Cumbres Norte ,SECTOR-CUMBRESNORTE,DELEGACION-PONIENTE
Valle de Infonavit y Valle Verde,SECTOR-VALLEDEINFONAVITYVALLEVERDE,DELEGACION-PONIENTE
Cumbres Vista Hermosa,SECTOR-CUMBRESVISTAHERMOSA,DELEGACION-PONIENTE
Burócratas y Mitras Norte,SECTOR-BUROCRATASYMITRASNORTE,DELEGACION-PONIENTE
"San Jerónimo, Santa María y El Carmen",SECTOR-SANJERONIMOSANTAMARIAYELCARMEN,DELEGACION-PONIENTE
Médico Gonzalitos,SECTOR-MEDICOGONZALITOS,DELEGACION-CENTRO
Edison Industrial,SECTOR-EDISONINDUSTRIAL,DELEGACION-CENTRO
Centrica,SECTOR-CENTRICA,DELEGACION-CENTRO
Moderna Churubusco,SECTOR-MODERNACHURUBUSCO,DELEGACION-CENTRO
Obispado y Purísima Alameda,SECTOR-OBISPADOYPURISIMAALAMEDA,DELEGACION-CENTRO
Centro y Fundidora,SECTOR-CENTROYFUNDIDORA,DELEGACION-CENTRO
Loma Larga,SECTOR-LOMALARGA,DELEGACION-SUR
Independencia,SECTOR-INDEPENDENCIA,DELEGACION-SUR
Chapultepec,SECTOR-CHAPULTEPEC,DELEGACION-SUR
Distrito Tec,SECTOR-DISTRITOTEC,DELEGACION-SUR
Roma Sur,SECTOR-ROMASUR,DELEGACION-SUR
Campana Altamira,SECTOR-CAMPANAALTAMIRA,DELEGACION-SUR
Contry,SECTOR-CONTRY,DELEGACION-SUR
Sierra Ventana,SECTOR-SIERRAVENTANA,DELEGACION-SUR
Fundadores y Las Torres,SECTOR-FUNDADORESYLASTORRES,DELEGACION-SUR
Las Brisas,SECTOR-LASBRISAS,DELEGACION-SUR
San Ángel,SECTOR-SANANGEL,DELEGACION-SUR
Satélite Mederos,SECTOR-SATELITEMEDEROS,DELEGACION-SUR
Valle Alto El Diente,SECTOR-VALLEALTOELDIENTE,DELEGACION-HUAJUCO
La Estanzuela,SECTOR-LAESTANZUELA,DELEGACION-HUAJUCO
El Uro y Los Cristales,SECTOR-ELUROYLOSCRISTALES,DELEGACION-HUAJUCO
La Bola y El Barro,SECTOR-LABOLAYELBARRO,DELEGACION-HUAJUCO
