name,district_id,district_name
San Bernabe IX(F-112),1,Norte
San Bernabe X(F-113),1,Norte
San Bernabe XII(F-115),1,Norte
San Bernabe XIII(F-116),1,Norte
San Bernabe XIV(F-109),1,Norte
San Bernabe XV(F-119),1,Norte
San Bernabe (F-51),1,Norte
Laderas del Topo Chico(F-23),1,Norte
Arboledas de Escobedo (P-44),1,Norte
"Ing J.M.Maldonado T. (P-11,19,22,23)",1,Norte
Jeronimo Treviño (P-35),1,Norte
"Las Fuentes (P-53,54,134)",1,Norte
Los Nogales III (P-102),1,Norte
Martin de Zavala (P-34),1,Norte
Privadas de Lincoln,1,Norte
San Antonio (P-37),1,Norte
San David 1P-33),1,Norte
"San Pedro (P-72,76,136)",1,Norte
La Alianza Trazo de A (P-28),1,Norte
Villa Bonita 1 Sector,1,Norte
Barrio Acero,1,Norte
Barrio Alameda,1,Norte
Barrio Aztlan,1,Norte
Barrio Chapultepec Norte,1,Norte
Barrio Chapultepec Sur,1,Norte
Barrio del Parque,1,Norte
Barrio del Parque 1 Sector 1 Etapa,1,Norte
Barrio del Parque 2 Etapa,1,Norte
Barrio del Prado,1,Norte
Barrio Estrella Norte y Sur,1,Norte
Barrio Margaritas 1 Sector 2 etapa,1,Norte
Barrio Margaritas 1 Sector 1 etapa,1,Norte
Barrio Mirasol I,1,Norte
Barrio Mirasol II,1,Norte
Barrio Mirasol III,1,Norte
Barrio Moderna,1,Norte
Barrio Puerta del Sol,1,Norte
Barrio San Carlos 1 Sector,1,Norte
Barrio San Carlos 3 Sector,1,Norte
Barrio San Carlos 4 Sector,1,Norte
Barrio San Carlos 2 Sector,1,Norte
Barrio San Luis 1 Sector,1,Norte
Barrio San Luis 2 Sector,1,Norte
Barrio San Pedro 1 Sector,1,Norte
Barrio San Pedro 2 Sector,1,Norte
Barrio Santa Isabel,1,Norte
Barrio Topo Chico (Barrio Monterrey 400),1,Norte
Fomerrey 114,1,Norte
La Alianza sector B,1,Norte
La Alianza sector F (P-142),1,Norte
"La Alianza sector I (P-58,68)",1,Norte
"La Alianza sector K (P-43,51)",1,Norte
"La Alianza sector N (P-71,74)",1,Norte
La Alianza sector Q (P-90),1,Norte
"Puerta del Sol 2  Sector La Alianza sector R (P-8,9)",1,Norte
Puerta del Sol 1  Sector La Alianza sector S (P-28),1,Norte
La Alianza sector T (P-24),1,Norte
La Alianza Trazo Mao (P-46),1,Norte
La Alianza Trazo Marcelino (P-130),1,Norte
Plutarco Elias Calles 1 - 2,1,Norte
Valles de San Bernabe,1,Norte
Valles de San Bernabe III,1,Norte
